質問ID,質問,質問タイプ,Mermaid/CSVモデル,回答モデル,登場人物判定(s),登場人物判定(tokens),中心人物特定(s),中心人物特定(tokens),Mermaid生成(s),Mermaid生成(tokens),CSV変換(s),CSV変換(tokens),回答生成(s),回答生成(tokens),合計時間(s),合計トークン数,タイムスタンプ
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-4.1,gpt-4.1,2.78,79068,4.36,99471,21.23,100402,8.20,1611,27.24,79921,63.81,360473,2025-11-17T18:30:27.313101
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-4o,gpt-4o,2.62,79068,5.42,99530,15.18,99713,2.29,612,25.75,79297,51.26,358220,2025-11-17T18:31:32.142183
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-4o-mini,gpt-4o-mini,2.39,79068,2.79,99419,9.69,99599,4.66,515,8.09,79176,27.61,357777,2025-11-17T18:32:24.408737
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-5.1,gpt-5-mini,2.22,79068,2.62,99419,10.53,100284,5.69,1296,18.23,79934,39.28,360001,2025-11-17T18:32:53.026228
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-4.1,gpt-5-mini,2.30,79068,3.17,99444,36.36,100500,6.98,1904,18.42,79992,67.23,360908,2025-11-17T18:33:33.318079
Q4,タニアとリーンの関係性について教えて,relationship,gpt-5.1,gpt-4.1,2.43,79062,3.75,99471,8.20,100135,4.58,1441,26.17,79995,45.12,360104,2025-11-17T18:34:41.556654
Q4,タニアとリーンの関係性について教えて,relationship,gpt-5-mini,gpt-5-mini,2.08,79068,4.32,99500,27.99,100812,20.28,1794,21.71,80239,76.38,361413,2025-11-17T18:35:27.681138
Q4,タニアとリーンの関係性について教えて,relationship,gpt-4.1,gpt-4.1,2.89,79071,2.53,99450,27.46,100327,12.13,1492,25.79,79883,70.79,360223,2025-11-17T18:36:45.061885
Q4,タニアとリーンの関係性について教えて,relationship,gpt-4o,gpt-4o,2.48,79071,2.59,99456,10.12,99708,3.09,648,18.27,79226,36.55,358109,2025-11-17T18:37:56.936085
Q4,タニアとリーンの関係性について教えて,relationship,gpt-4o-mini,gpt-4o-mini,2.39,79071,4.32,99562,8.15,99485,2.08,275,9.33,79309,26.26,357702,2025-11-17T18:38:34.492184
Q4,タニアとリーンの関係性について教えて,relationship,gpt-5.1,gpt-5-mini,2.31,79062,3.17,99466,13.87,99880,1.88,871,22.26,80403,43.49,359682,2025-11-17T18:39:01.761998
Q4,タニアとリーンの関係性について教えて,relationship,gpt-4.1,gpt-5-mini,2.71,79071,2.68,99454,20.84,100145,3.64,1115,25.89,80292,55.76,360077,2025-11-17T18:39:46.268801
